station,mta_id,location
135 St - (ID: 19),EL180,STREET TO MEZZANINE & UPTOWN PLATFORM
125 St - (ID: 1),FAKE,NOWHERE
Times Sq - 42 St - (ID: 18),EL232,MEZZANINE TO DOWNTOWN PLATFORM & 7 PLATFORM
Lexington Av / 63 St - (ID: 17),EL443,MEZZANINE TO PLATFORMS
Jay St - Metrotech - (ID: 16),EL706,STREET TO MEZZANINE
Jamaica - Van Wyck - (ID: 15),EL409,STREET TO MEZZANINE
Jamaica - Van Wyck - (ID: 15),EL408,MEZZANINE TO PLATFORM
Jackson Hts - Roosevelt Av - (ID: 14),EL420,MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7)
Fulton St - (ID: 13),EL721,PLATFORM TO LOWER MEZZANINE
Dekalb Av - (ID: 12),EL371,MEZZANINE TO UPTOWN
Court St - (ID: 11),EL309,LOWER MEZZANINE TO UPPER MEZZANINE
Clark St - (ID: 10),EL311,LOWER MEZZANINE TO STREET
Atlantic Av-Barclays Ctr - (ID: 9),EL700X,STREET TO MEZZANINE
Atlantic Av-Barclays Ctr - (ID: 8),EL302,MEZZANINE TO DOWNTOWN
34 St - Penn - (ID: 7),EL214,MEZZANINE TO UPTOWN LOCAL PLATFORM
28 St - (ID: 6),EL279X,STREET TO MEZZANINE
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE
179 St - Jamaica - (ID: 4),EL431,STREET TO MEZZANINE
161 St - Yankee Stadium - (ID: 3),EL131,STREET TO MEZZANINE
14 St - (ID: 2),EL222,"MEZZANINE TO DOWNTOWN A,C&E; PLATFORM"
125 St - (ID: 1),EL142,STREET TO MEZZANINE
125 St - (ID: 1),EL144,MEZZANINE AND UPTOWN
