elevator,reason,out_of_service,first_missed,estimated_return
EL120,Under Investigation,2018-02-24 14:01:00+00:00,2018-02-24 16:06:06.714299+00:00,2018-02-25 02:00:00+00:00
EL498,Under Investigation,2018-02-24 13:32:00+00:00,2018-02-24 16:52:07.274932+00:00,2018-02-25 02:00:00+00:00
EL114,Repair,2018-02-24 15:00:00+00:00,2018-02-24 15:21:06.788755+00:00,2018-02-25 03:00:00+00:00
EL103,Repair,2018-02-24 02:40:00+00:00,2018-02-24 05:06:07.482928+00:00,2018-02-25 03:00:00+00:00
EL110,Repair,2018-02-24 16:00:00+00:00,2018-02-24 16:15:06.398445+00:00,2018-02-25 04:00:00+00:00
EL109,Maintenance,2018-02-24 15:55:00+00:00,2018-02-24 16:10:06.628148+00:00,2018-02-25 04:00:00+00:00
EL443,Maintenance,2018-02-23 16:09:00+00:00,2018-02-23 20:49:08.009189+00:00,2018-02-25 04:00:00+00:00
EL445X,Repair,2018-02-24 17:32:00+00:00,2018-02-25 02:27:08.187110+00:00,2018-02-25 06:00:00+00:00
EL440,Under Investigation,2018-02-24 17:36:00+00:00,2018-02-24 19:31:07.753086+00:00,2018-02-25 06:00:00+00:00
EL420,Under Investigation,2018-02-24 17:07:00+00:00,2018-02-24 22:53:07.538122+00:00,2018-02-25 06:00:00+00:00
EL323,Under Investigation,2018-02-24 17:00:00+00:00,2018-02-24 18:46:06.747605+00:00,2018-02-25 06:00:00+00:00
EL721,Repair,2018-02-24 20:15:00+00:00,2018-02-25 09:39:08.771180+00:00,2018-02-25 09:00:00+00:00
EL279X,Repair,2018-02-24 21:45:00+00:00,2018-02-25 17:25:06.642953+00:00,2018-02-25 10:00:00+00:00
EL436,Repair,2018-02-24 21:32:00+00:00,2018-02-25 18:10:05.412779+00:00,2018-02-25 10:00:00+00:00
EL113,Repair,2018-02-24 21:05:00+00:00,2018-02-25 02:06:07.389208+00:00,2018-02-25 10:00:00+00:00
EL206,Maintenance,2018-02-25 05:01:00+00:00,2018-02-25 10:11:08.167217+00:00,2018-02-25 11:00:00+00:00
EL129,Maintenance,2018-02-25 04:44:00+00:00,2018-02-25 10:18:07.358267+00:00,2018-02-25 11:00:00+00:00
EL395,Maintenance,2018-02-25 04:40:00+00:00,2018-02-25 07:18:07.132902+00:00,2018-02-25 11:00:00+00:00
EL194,Maintenance,2018-02-25 04:35:00+00:00,2018-02-25 09:47:08.035370+00:00,2018-02-25 11:00:00+00:00
EL723,Maintenance,2018-02-25 04:28:00+00:00,2018-02-25 09:53:07.415829+00:00,2018-02-25 11:00:00+00:00
EL371,Maintenance,2018-02-25 04:21:00+00:00,2018-02-25 09:57:07.589632+00:00,2018-02-25 11:00:00+00:00
EL342,Under Investigation,2018-02-24 23:35:00+00:00,2018-02-25 01:54:06.373144+00:00,2018-02-25 12:00:00+00:00
EL195,Under Investigation,2018-02-24 23:09:00+00:00,2018-02-25 01:03:07.862927+00:00,2018-02-25 12:00:00+00:00
EL206,Under Investigation,2018-02-25 00:06:00+00:00,2018-02-25 01:26:07.770135+00:00,2018-02-25 13:00:00+00:00
EL250,Maintenance,2018-02-25 03:05:00+00:00,2018-02-25 05:52:08.276584+00:00,2018-02-25 15:00:00+00:00
