station,mta_id,location,out_of_service,first_missed,estimated_return,outage_hours
Canal St - (ID: 63),EL325,STREET TO DOWNTOWN 6 PLATFORM,2018-03-30T12:25:00.000Z,2018-03-30T14:12:07.592Z,2018-03-30T19:00:00.000Z,1.7854422222222222
Kings Highway - (ID: 35),EL761,STREET TO DOWNTOWN PLATFORM,2018-03-30T12:04:00.000Z,2018-03-30T14:00:07.655Z,2018-03-30T21:00:00.000Z,1.9354597222222223
Forest Hills - 71 Av - (ID: 69),EL437,STREET TO MEZZANINE ALL TRAINS,2018-03-30T12:07:00.000Z,2018-03-30T21:54:08.715Z,2018-03-30T20:00:00.000Z,9.785754166666665
190 St - (ID: 51),EL120,LOWER MEZZANINE TO STREET,2018-03-30T11:55:00.000Z,2018-03-30T14:19:09.621Z,2018-03-30T20:00:00.000Z,2.4026725
Lexington Av / 63 St - (ID: 17),EL441,MEZZANINE TO PLATFORMS,2018-03-30T11:55:00.000Z,2018-03-30T15:10:07.104Z,2018-03-30T20:00:00.000Z,3.251973333333333
181 St - (ID: 5),EL107,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-30T10:57:00.000Z,2018-03-30T13:43:08.730Z,2018-03-30T19:00:00.000Z,2.7690916666666667
72 St / 2 Av - (ID: 62),EL266,LOWER MEZZANINE TO STREET,2018-03-30T10:35:00.000Z,2018-03-30T14:02:08.348Z,2018-03-30T19:00:00.000Z,3.4523188888888887
168 St - (ID: 47),EL114,LOWER MEZZANINE TO UPPER MEZZANINE,2018-03-30T08:20:00.000Z,2018-03-30T10:49:08.323Z,2018-03-30T17:00:00.000Z,2.485645277777778
Court Square - (ID: 68),EL447,LEVEL 2 TO MEZZANINE,2018-03-30T07:35:00.000Z,2018-03-30T08:46:09.513Z,2018-03-30T10:00:00.000Z,1.1859758333333335
125 St - (ID: 1),EL142,STREET TO MEZZANINE,2018-03-30T06:57:00.000Z,2018-03-30T13:42:08.445Z,2018-03-30T15:00:00.000Z,6.752345833333333
8 Av - (ID: 91),EL224,MEZZANINE TO PLATFORM,2018-03-30T06:55:00.000Z,2018-03-30T09:11:09.130Z,2018-03-30T10:00:00.000Z,2.2692027777777777
47-50 St - Rockefeller Ctr - (ID: 50),EL234,STREET TO MEZZANINE,2018-03-30T06:50:00.000Z,2018-03-30T09:07:09.646Z,2018-03-30T09:00:00.000Z,2.286012777777778
